freq(mHz)    send_db    receive_db    diff_db    distance
2412         19         -55           74.0000    49.8451     
2412         19         -51           70.0000    31.4501     
2412         19         -52           71.0000    35.2876     
2412         19         -49           68.0000    24.9817     
2412         19         -52           71.0000    35.2876     
2412         19         -53           72.0000    39.5934     
2412         19         -55           74.0000    49.8451     
2412         19         -59           78.0000    78.9992     
2412         19         -52           71.0000    35.2876     
2412         19         -54           73.0000    44.4245     
2412         19         -53           72.0000    39.5934     
2412         19         -52           71.0000    35.2876     
2412         19         -51           70.0000    31.4501     
2412         19         -49           68.0000    24.9817     
2412         19         -49           68.0000    24.9817     
2412         19         -52           71.0000    35.2876     
2412         19         -47           66.0000    19.8437     
2412         19         -47           66.0000    19.8437     
2412         19         -49           68.0000    24.9817     
2412         19         -49           68.0000    24.9817     
2412         19         -50           69.0000    28.0300     
2412         19         -50           69.0000    28.0300     
2412         19         -53           72.0000    39.5934     
2412         19         -52           71.0000    35.2876     
2412         19         -50           69.0000    28.0300     
2412         19         -52           71.0000    35.2876     
2412         19         -56           75.0000    55.9272     
2412         19         -49           68.0000    24.9817     
2412         19         -51           70.0000    31.4501     
2412         19         -53           72.0000    39.5934     
2412         19         -50           69.0000    28.0300     
2412         19         -50           69.0000    28.0300     
2412         19         -53           72.0000    39.5934     
2412         19         -55           74.0000    49.8451     
2412         19         -54           73.0000    44.4245     
2412         19         -54           73.0000    44.4245     
2412         19         -52           71.0000    35.2876     
2412         19         -51           70.0000    31.4501     
2412         19         -53           72.0000    39.5934     
2412         19         -54           73.0000    44.4245     
2412         19         -51           70.0000    31.4501     
2412         19         -55           74.0000    49.8451     
2412         19         -55           74.0000    49.8451     
2412         19         -50           69.0000    28.0300     
2412         19         -53           72.0000    39.5934     
2412         19         -56           75.0000    55.9272     
2412         19         -50           69.0000    28.0300     
2412         19         -53           72.0000    39.5934     
2412         19         -52           71.0000    35.2876     
2412         19         -52           71.0000    35.2876     
2412         19         -55           74.0000    49.8451     
2412         19         -50           69.0000    28.0300     
2412         19         -53           72.0000    39.5934     
2412         19         -51           70.0000    31.4501     
2412         19         -54           73.0000    44.4245     
2412         19         -57           76.0000    62.7513     
2412         19         -56           75.0000    55.9272     
2412         19         -59           78.0000    78.9992     
2412         19         -55           74.0000    49.8451     
2412         19         -54           73.0000    44.4245     
2412         19         -49           68.0000    24.9817     
2412         19         -51           70.0000    31.4501     
2412         19         -50           69.0000    28.0300     
2412         19         -48           67.0000    22.2650     
2412         19         -50           69.0000    28.0300     
2412         19         -50           69.0000    28.0300     
2412         19         -54           73.0000    44.4245     
2412         19         -52           71.0000    35.2876     
2412         19         -55           74.0000    49.8451     
2412         19         -55           74.0000    49.8451     
2412         19         -56           75.0000    55.9272     
2412         19         -55           74.0000    49.8451     
2412         19         -54           73.0000    44.4245     
2412         19         -50           69.0000    28.0300     
2412         19         -50           69.0000    28.0300     
2412         19         -54           73.0000    44.4245     
2412         19         -54           73.0000    44.4245     
2412         19         -54           73.0000    44.4245     
2412         19         -52           71.0000    35.2876     
2412         19         -55           74.0000    49.8451     
2412         19         -54           73.0000    44.4245     
